櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5703,亞都麗緻,3492318,169153,109,20.64,21.3,19.5,20.62,20.5,36.61,1.21,0.24,1.66
5704,老爺知  ,2984503,163109,91,18.29,19,17,18.22,19,22.35,1.57,0.42,1.42
5820,日盛金控,182834590,21466070,5361,8.51,8.79,8.3,8.48,8.56,9.51,10.63,0.84,0.76
6008,凱基證券,543324087,41743440,6508,13.01,13.25,12.7,12.98,13.1,23.82,3.05,1.28,0.87
6015,宏遠證券,82681590,15303435,4034,5.4,5.9,5.01,5.27,5.54,N/A,0,3.35,0.65
6016,康和證券,69623057,11190508,2741,6.22,6.43,6.04,6.2,6.36,N/A,2.35,1.62,0.57
6020,大展證券,2545096,198539,104,12.81,13.4,12.6,12.9,13,N/A,4.92,0.09,0.91
6021,大慶證券,18640010,1921531,704,9.7,10.2,9.13,9.61,9.7,N/A,14.43,0.63,0.7
6022,大眾證  ,33470695,4279743,1325,7.82,8.04,7.61,7.77,7.91,N/A,4.29,1.13,0.65
6023,元大期貨,26312781,786080,541,33.47,34.8,32.9,33.5,34.7,10.81,6.91,0.34,1.48
6024,群益期  ,150075193,5769386,2011,26.01,27.05,23.75,25.35,24,10.13,9.58,6.25,1.15
2916,滿心企業,104368249,5510876,2077,18.93,20.35,17.6,18.02,17.7,11.35,8.47,10.09,0.99
2924,F-東凌  ,37834204,600224,390,63.03,64.7,61.5,63.28,62.1,19.53,4.5,1.99,2.83
5902,德記洋行,14993738,1235871,448,12.13,12.75,11.8,12.12,12.3,N/A,0,1.31,2.03
5903,全家    ,866792113,6054844,4662,143.15,149,139.5,142.02,147,35.85,2.44,2.71,7.36
5904,寶雅國際,471942203,8243543,5704,57.24,61.6,52.9,57,61.3,14.67,5.51,9.06,3.06
5905,南仁湖  ,212044222,17559922,5462,12.07,12.35,11.75,11.97,11.8,73.75,0,8.31,0.98
6195,詩肯    ,140372048,2562951,1573,54.76,57.6,51.9,54.25,55.3,9.17,3.61,6.75,2.86
8941,關中    ,3550913,539827,146,6.57,7.2,6.2,6.77,6.49,N/A,0,0.41,1.74
9960,邁達康  ,6842607,358106,188,19.1,19.85,18.8,19.26,19.15,11.2,4.17,1.11,1.34
1584,精剛精密,560104710,28465879,8941,19.67,20.9,18.5,19.69,20.3,31.72,0.98,35.8,1.08
2221,大甲    ,32844064,1729307,1035,18.99,20.2,17.5,18.45,18.7,11.07,0,4.08,1.33
