公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1447,力鵬,2364273,1426489,65.74 ,1685923,40.24 ,14942050,11319635,32.00 ,14,10,40.00 
1449,佳和實業,162777,169862,-4.17 ,128544,26.63 ,1331211,1194808,11.42 ,4.46,1.6,178.75 
1451,年興紡織,973199,1034967,-5.97 ,601599,61.77 ,6343069,5246335,20.90 ,20.75,15.95,30.09 
1452,宏益,179582,163672,9.72 ,114894,56.30 ,1349000,910971,48.08 ,12.35,6.91,78.73 
1453,大將,128728,23158,455.87 ,14695,776.00 ,290285,223970,29.61 ,11.1,7.35,51.02 
1454,台富,254460,232274,9.55 ,170023,49.66 ,1664514,1303806,27.67 ,7.68,5.66,35.69 
1455,集盛,1521444,1262588,20.50 ,1136854,33.83 ,10975644,7824960,40.26 ,14.8,8.39,76.40 
1456,怡華,152892,162563,-5.95 ,148247,3.13 ,1345314,1309590,2.73 ,2.47,1.28,92.97 
1457,宜進,321688,329078,-2.25 ,306120,5.09 ,2650793,2002245,32.39 ,8.62,4.64,85.78 
1459,聯發紡織,313464,273887,14.45 ,206091,52.10 ,2035939,1379997,47.53 ,11.15,8.8,26.70 
1460,宏遠,410655,406608,1.00 ,281516,45.87 ,2960108,2795326,5.89 ,6.55,5.72,14.51 
1463,強盛染整,53978,46198,16.84 ,39341,37.21 ,386111,354201,9.01 ,9.08,5.11,77.69 
1464,得力實業,138374,153687,-9.96 ,102878,34.50 ,1094246,808049,35.42 ,14.1,5.49,156.83 
1465,偉全實業,152522,130729,16.67 ,103099,47.94 ,947319,852865,11.07 ,14.9,9.78,52.35 
1466,聚隆,525772,420476,25.04 ,253370,107.51 ,3410877,1922832,77.39 ,20.4,5.25,288.57 
1467,南緯實業,419357,340104,23.30 ,368300,13.86 ,2551641,2585286,-1.30 ,11.55,7.18,60.86 
1468,昶和纖維,40027,53928,-25.78 ,40403,-0.93 ,448699,475218,-5.58 ,16.9,10.7,57.94 
1469,理隆纖維,63850,82231,-22.35 ,41520,53.78 ,536018,461317,16.19 ,13,7.9,64.56 
1470,大統染,56262,63253,-11.05 ,61734,-8.86 ,519475,464404,11.86 ,10,6.55,52.67 
1471,首利,721705,855829,-15.67 ,857949,-15.88 ,5821745,5239310,11.12 ,21.05,21.4,-1.64 
1472,三洋纖,78164,68731,13.72 ,20882,274.31 ,552112,314673,75.46 ,5.73,4.07,40.79 
1473,台南企業,557877,623525,-10.53 ,518190,7.66 ,4763592,4351717,9.46 ,44.6,22.4,99.11 
1474,弘裕,253533,268778,-5.67 ,168674,50.31 ,2051760,1493974,37.34 ,9.84,5.9,66.78 
1475,本盟光電,77863,93833,-17.02 ,21291,265.71 ,526767,159056,231.18 ,14.45,5.25,175.24 
1476,儒鴻,715630,1020373,-29.87 ,416521,71.81 ,5450082,3883432,40.34 ,35.3,16.55,113.29 
1477,聚陽實業,1471380,1278784,15.06 ,1504981,-2.23 ,8988937,8281446,8.54 ,75.5,58.6,28.84 
1503,士電,1153879,1266558,-8.90 ,983568,17.32 ,9693344,12698228,-23.66 ,35.4,40.6,-12.81 
1504,東元電機,1962442,2202146,-10.89 ,1893525,3.64 ,15708140,15032797,4.49 ,15.45,13.55,14.02 
1506,正道,61656,71155,-13.35 ,48794,26.36 ,504224,379267,32.95 ,16.3,15,8.67 
1507,永大機電,347152,290249,19.60 ,290470,19.51 ,2444997,2425305,0.81 ,38.4,20.9,83.73 
1512,瑞利,201380,230023,-12.45 ,214540,-6.13 ,1577768,1861417,-15.24 ,8.05,8.24,-2.31 
1513,中興電,413906,517007,-19.94 ,574365,-27.94 ,4900926,5023861,-2.45 ,17.4,16.75,3.88 
1514,亞力電機,205758,252232,-18.43 ,245298,-16.12 ,1663038,1743813,-4.63 ,11.4,6.53,74.58 
1515,力山,370758,291644,27.13 ,294807,25.76 ,2215911,1856331,19.37 ,9.75,8.06,20.97 
1516,川飛,6977,7329,-4.80 ,10947,-36.27 ,173869,90152,92.86 ,9.07,12.4,-26.85 
1517,利奇機械,184398,194147,-5.02 ,140120,31.60 ,1440737,1075598,33.95 ,14.6,10.8,35.19 
1519,華城電機,238817,347097,-31.20 ,558807,-57.26 ,2697989,3913263,-31.06 ,24.95,34.25,-27.15 
1521,大億,306364,362922,-15.58 ,223004,37.38 ,2553005,1786910,42.87 ,57.6,21.6,166.67 
1522,堤維西,663444,651880,1.77 ,601306,10.33 ,5379941,5223162,3.00 ,20.25,20.2,0.25 
1524,耿鼎公司,272022,259826,4.69 ,252442,7.76 ,2163258,2075059,4.25 ,11.25,8.1,38.89 
1525,江申工業,105586,102342,3.17 ,72209,46.22 ,767023,515294,48.85 ,50.3,19.45,158.61 
1526,日馳,43963,50143,-12.32 ,31623,39.02 ,390546,289496,34.91 ,6.48,5.55,16.76 
1527,鑽全,210369,292626,-28.11 ,200528,4.91 ,1916756,1247489,53.65 ,29.95,28.4,5.46 
1528,恩德,311024,275332,12.96 ,124505,149.81 ,1897553,866030,119.11 ,15.1,9.01,67.59 
1529,樂士,10547,19352,-45.50 ,21294,-50.47 ,102280,225104,-54.56 ,8.7,3.76,131.38 
1530,亞崴機電,235030,260097,-9.64 ,152597,54.02 ,1610650,759233,112.14 ,31.2,28.5,9.47 
1531,高林股,321066,421088,-23.75 ,157229,104.20 ,2540684,1062346,139.16 ,30.35,14.35,111.50 
1532,勤美,362496,372313,-2.64 ,428493,-15.40 ,2783970,2669745,4.28 ,33.2,35.1,-5.41 
1533,車王電,155701,142945,8.92 ,134655,15.63 ,917348,812242,12.94 ,23,17.5,31.43 
1535,中宇,459912,448033,2.65 ,389922,17.95 ,4927625,3962883,24.34 ,48.3,42.9,12.59 
1536,和大工業,230440,217404,6.00 ,91880,150.81 ,1515946,747546,102.79 ,13.8,9.3,48.39 
1537,廣隆光電,256829,257946,-0.43 ,214449,19.76 ,2172158,1715106,26.65 ,50,27.5,81.82 
1538,正峰新,96342,89935,7.12 ,81552,18.14 ,796458,783218,1.69 ,39.7,19.6,102.55 
1539,巨庭機械,89819,83041,8.16 ,73906,21.53 ,687998,469356,46.58 ,9.32,5.67,64.37 
1540,喬福機械,41123,67821,-39.37 ,80714,-49.05 ,733844,466667,57.25 ,25.1,29.95,-16.19 
1541,錩泰,162845,139067,17.10 ,177663,-8.34 ,903451,944955,-4.39 ,23,15,53.33 
1560,中砂,277166,268754,3.13 ,237778,16.57 ,1835251,1542668,18.97 ,38.65,34,13.68 
1582,信錦,149602,120646,24.00 ,48832,206.36 ,786174,350633,124.22 ,60.1,61.1,-1.64 
1583,程泰,164701,182026,-9.52 ,77947,111.30 ,1192933,490414,143.25 ,31.9,26,22.69 
1603,華電,191649,177956,7.69 ,284762,-32.70 ,1681809,1782785,-5.66 ,10.9,8.29,31.48 
1604,聲寶,646442,922340,-29.91 ,525064,23.12 ,5921998,5350609,10.68 ,4.88,4.95,-1.41 
1605,華新,6909858,6734251,2.61 ,5097718,35.55 ,53963281,40845669,32.12 ,15.1,10.85,39.17 
1608,華榮,895926,681576,31.45 ,790196,13.38 ,6843297,4549605,50.42 ,10.25,8.84,15.95 
1609,大亞電線,752587,697883,7.84 ,733619,2.59 ,5490356,4480350,22.54 ,8.3,6.54,26.91 
1611,中電,518110,557952,-7.14 ,301393,71.91 ,4016087,2516996,59.56 ,23.95,15.7,52.55 
1612,宏泰,453713,484971,-6.45 ,580254,-21.81 ,3726356,3312267,12.50 ,14.45,10.8,33.80 
1613,台一,518631,521239,-0.50 ,379767,36.57 ,3690488,2473437,49.20 ,5.55,3.7,50.00 
1614,三洋電,542117,966217,-43.89 ,609514,-11.06 ,5027743,4459615,12.74 ,30.25,29.85,1.34 
1615,大山,241403,336573,-28.28 ,313932,-23.10 ,2461499,2021457,21.77 ,14.6,8.26,76.76 
1616,億泰,293370,356851,-17.79 ,208411,40.77 ,2195975,1953762,12.40 ,6.74,5.63,19.72 
1617,榮星電線,485008,445137,8.96 ,208632,132.47 ,3375102,1727528,95.37 ,10.8,6.55,64.89 
1618,合機公司,443968,256216,73.28 ,179025,147.99 ,2261346,1673240,35.15 ,18.8,18.75,0.27 
1701,中化,219734,213302,3.02 ,180302,21.87 ,1855996,1710984,8.48 ,25,26.3,-4.94 
1702,南僑化工,179087,163726,9.38 ,175376,2.12 ,1272395,1183627,7.50 ,33.35,11.05,201.81 
1704,榮化,2560845,2564232,-0.13 ,2366971,8.19 ,19625666,16859444,16.41 ,62.1,35.65,74.19 
1707,葡萄王,181044,184866,-2.07 ,119782,51.14 ,1352569,1098759,23.10 ,44.3,25.8,71.71 
1708,東鹼,236839,197061,20.19 ,167362,41.51 ,1873726,1642786,14.06 ,35.95,28.6,25.70 
1709,和益化工,632721,953677,-33.65 ,485730,30.26 ,6030671,4426854,36.23 ,16.2,12.75,27.06 
1710,東聯,1095727,1060163,3.35 ,853541,28.37 ,8610484,6084174,41.52 ,24.3,18.75,29.60 
1711,永光化學,497990,471920,5.52 ,465454,6.99 ,4213907,3188669,32.15 ,29.8,17.45,70.77 
1712,興農,612018,546298,12.03 ,526531,16.24 ,4357776,4294927,1.46 ,13.75,12.35,11.34 
1713,國化,57127,43868,30.22 ,34548,65.36 ,364806,253338,44.00 ,12.4,9.95,24.62 
1714,和桐化學,1035113,1197803,-13.58 ,836672,23.72 ,8038270,5923049,35.71 ,16.1,12.75,26.27 
1715,亞洲化學,356230,369769,-3.66 ,308586,15.44 ,2702602,2014058,34.19 ,20.7,11.05,87.33 
1716,永信藥品,310287,264390,17.36 ,277704,11.73 ,2154714,2193376,-1.76 ,34.05,38.05,-10.51 
1717,長興化學,1652916,1557384,6.13 ,1407277,17.45 ,12535910,9856317,27.19 ,31.3,28.55,9.63 
1718,中纖,2832112,1355550,108.93 ,964362,193.68 ,11761961,6645827,76.98 ,10.65,5.84,82.36 
1720,生達化學,180913,184634,-2.02 ,143214,26.32 ,1379764,1261252,9.40 ,28.1,30.6,-8.17 
1721,三晃,145206,149169,-2.66 ,110120,31.86 ,1160762,806779,43.88 ,13.25,6.62,100.15 
1722,台肥,1279339,1240513,3.13 ,963716,32.75 ,9413347,12218666,-22.96 ,98,95.4,2.73 
1723,中碳,574871,734914,-21.78 ,437632,31.36 ,5041013,2874306,75.38 ,99.8,69.5,43.60 
1724,台硝,191441,158822,20.54 ,97208,96.94 ,1174557,849131,38.32 ,13.5,10.85,24.42 
1725,元禎,1028786,834192,23.33 ,673606,52.73 ,6890018,4527374,52.19 ,21.8,16.1,35.40 
1726,永記造漆,546860,479078,14.15 ,392309,39.40 ,3959194,3437889,15.16 ,42.9,38.9,10.28 
1727,中華化學,155304,162012,-4.14 ,103033,50.73 ,1148155,775152,48.12 ,27.75,14.7,88.78 
1729,必翔實業,160607,167217,-3.95 ,121702,31.97 ,927442,795443,16.59 ,48,64.2,-25.23 
1730,花仙子,87408,78157,11.84 ,68589,27.44 ,622993,513371,21.35 ,18.6,20.25,-8.15 
1731,美吾華,142258,149501,-4.84 ,181222,-21.50 ,1446500,1745319,-17.12 ,16,20.1,-20.40 
1732,毛寶,49147,67688,-27.39 ,50999,-3.63 ,502237,451851,11.15 ,15.25,23.2,-34.27 
1733,五鼎,149408,151686,-1.50 ,119128,25.42 ,1161309,909120,27.74 ,68.6,56.9,20.56 
1734,杏輝藥品,123449,133668,-7.65 ,116335,6.12 ,1033641,997148,3.66 ,36.55,30,21.83 
1735,日勝化,178475,202644,-11.93 ,147179,21.26 ,1602810,1129888,41.86 ,16.15,13.05,23.75 
1736,喬山健康,961294,662553,45.09 ,201585,376.87 ,4451356,1213930,266.69 ,42.8,29.6,44.59 
1737,臺鹽,185467,165871,11.81 ,156495,18.51 ,1414626,1334819,5.98 ,21,19.45,7.97 
1773,勝一化工,545030,525877,3.64 ,434392,25.47 ,4148892,2880584,44.03 ,38.5,24.5,57.14 
1802,台玻,1375437,1307646,5.18 ,1207704,13.89 ,10951946,7512979,45.77 ,31,20.5,51.22 
1805,寶徠,1554,5190,-70.06 ,11901,-86.94 ,156910,99036,58.44 ,11,6.62,66.16 
1806,冠軍,224975,212437,5.90 ,188492,19.36 ,1642924,1438355,14.22 ,25.15,9.55,163.35 
1808,國賓大地,123959,84781,46.21 ,65438,89.43 ,1011064,563765,79.34 ,29.8,17.9,66.48 
