公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1463,強盛染整,33500,47822,-29.95 ,49561,-32.41 ,508293,533999,-4.81 ,8.52 ,11.20 ,-23.93 
1464,得力實業,184828,214658,-13.90 ,164646,12.26 ,1807151,1604553,12.63 ,8.46 ,12.75 ,-33.65 
1465,偉全實業,117783,145779,-19.20 ,106518,10.58 ,1768067,1333281,32.61 ,12.80 ,17.30 ,-26.01 
1466,聚隆,363609,443762,-18.06 ,581413,-37.46 ,5374818,5057215,6.28 ,16.00 ,23.10 ,-30.74 
1467,南緯實業,237394,320071,-25.83 ,378137,-37.22 ,3193773,3674863,-13.09 ,8.37 ,11.85 ,-29.37 
1468,昶和纖維,47330,31644,49.57 ,50255,-5.82 ,639417,594611,7.54 ,12.10 ,13.95 ,-13.26 
1469,理隆纖維,25015,43117,-41.98 ,39421,-36.54 ,799520,686293,16.50 ,8.83 ,12.05 ,-26.72 
1470,大統染,58530,63282,-7.51 ,77556,-24.53 ,739488,727789,1.61 ,12.70 ,10.70 ,18.69 
1471,首利,637113,682102,-6.60 ,554549,14.89 ,6266348,7533835,-16.82 ,11.05 ,18.30 ,-39.62 
1472,三洋紡,48351,56877,-14.99 ,86538,-44.13 ,1119705,804775,39.13 ,9.98 ,7.06 ,41.36 
1473,台南企業,528364,480164,10.04 ,511913,3.21 ,6609211,6273072,5.36 ,34.35 ,42.45 ,-19.08 
1474,弘裕,290290,247329,17.37 ,358775,-19.09 ,3401796,3057343,11.27 ,7.50 ,10.55 ,-28.91 
1475,本盟光電,22236,20485,8.55 ,69617,-68.06 ,356270,755626,-52.85 ,5.82 ,13.95 ,-58.28 
1476,儒鴻,923344,1367133,-32.46 ,706901,30.62 ,9966809,7675105,29.86 ,46.15 ,38.70 ,19.25 
1477,聚陽實業,1006903,2221350,-54.67 ,773367,30.20 ,13951625,13437711,3.82 ,67.80 ,70.00 ,-3.14 
1503,士電,1214547,1328905,-8.61 ,1324833,-8.32 ,14787993,13335764,10.89 ,30.20 ,38.10 ,-20.73 
1504,東元電機,2122029,2046722,3.68 ,1874789,13.19 ,23748699,21363613,11.16 ,17.75 ,18.85 ,-5.84 
1506,正道,85966,84883,1.28 ,63917,34.50 ,908524,723468,25.58 ,25.00 ,27.30 ,-8.42 
1507,永大機電,344489,315889,9.05 ,303697,13.43 ,3456322,3384788,2.11 ,44.85 ,42.00 ,6.79 
1512,瑞利,303424,236117,28.51 ,268477,13.02 ,2523844,2307858,9.36 ,6.86 ,8.68 ,-20.97 
1513,中興電,685171,601280,13.95 ,487293,40.61 ,6983962,6700257,4.23 ,14.60 ,17.65 ,-17.28 
1514,亞力電機,249896,375760,-33.50 ,447591,-44.17 ,2984779,2682973,11.25 ,6.96 ,10.70 ,-34.95 
1515,力山,237961,262405,-9.32 ,239263,-0.54 ,2247492,3082643,-27.09 ,4.56 ,10.20 ,-55.29 
1516,川飛,23464,0,NA,65,35998.46 ,33629,174013,-80.67 ,5.50 ,2.98 ,84.56 
1517,利奇機械,177724,165477,7.40 ,186408,-4.66 ,1883920,1964505,-4.10 ,10.90 ,14.05 ,-22.42 
1519,華城電機,346206,403799,-14.26 ,749729,-53.82 ,3927443,4708157,-16.58 ,12.45 ,20.80 ,-40.14 
1521,大億,345520,353923,-2.37 ,331431,4.25 ,3769251,3509805,7.39 ,55.60 ,67.20 ,-17.26 
1522,堤維西,758387,747577,1.45 ,750283,1.08 ,7657517,7601746,0.73 ,11.75 ,18.00 ,-34.72 
1524,耿鼎公司,271200,276755,-2.01 ,299323,-9.40 ,2858605,3015876,-5.21 ,6.65 ,10.25 ,-35.12 
1525,江申工業,107658,86760,24.09 ,107627,0.03 ,1187815,1064345,11.60 ,39.90 ,54.00 ,-26.11 
1526,日馳,46543,48624,-4.28 ,43938,5.93 ,566745,518110,9.39 ,7.62 ,7.39 ,3.11 
1527,鑽全,224702,197697,13.66 ,213029,5.48 ,2555714,2517080,1.53 ,18.40 ,24.95 ,-26.25 
1528,恩德,278620,193148,44.25 ,194635,43.15 ,2659760,2581868,3.02 ,14.00 ,15.90 ,-11.95 
1529,樂士,6777,8052,-15.83 ,31482,-78.47 ,101800,165202,-38.38 ,3.57 ,4.60 ,-22.39 
1530,亞崴機電,363870,277347,31.20 ,275797,31.93 ,2835280,2343426,20.99 ,24.70 ,33.80 ,-26.92 
